********************************************************************************
*                             Initializing Cubiquity                           *
********************************************************************************
[10:48:41, Info   ]: Creating voxel database from 'C:/Users/Logan/Documents/Classes/Capstone/workspace/ElementZeta/Assets/StreamingAssets/Cubiquity/VoxelDatabases/14937443.vdb'
[10:49:01, Info   ]: Creating voxel database from 'C:/Users/Logan/Documents/Classes/Capstone/workspace/ElementZeta/Assets/StreamingAssets/Cubiquity/VoxelDatabases/14937443.vdb'
[10:49:58, Info   ]: Creating voxel database from 'C:/Users/Logan/Documents/Classes/Capstone/workspace/ElementZeta/Assets/StreamingAssets/Cubiquity/VoxelDatabases/14937443.vdb'
[10:53:50, Info   ]: Creating empty voxel database as 'C:/Users/Logan/AppData/Local/Temp/DefaultCompany/ElementZeta/124C7EF8.vdb'
[10:53:50, Info   ]: Creating empty voxel database as 'C:/Users/Logan/AppData/Local/Temp/DefaultCompany/ElementZeta/2C22A5BD.vdb'
[10:54:01, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[10:54:02, Info   ]: Creating voxel database from 'C:/Users/Logan/Documents/Classes/Capstone/workspace/ElementZeta/Assets/StreamingAssets/Cubiquity/VoxelDatabases/14937443.vdb'
[10:54:22, Info   ]: Creating voxel database from 'C:/Users/Logan/Documents/Classes/Capstone/workspace/ElementZeta/Assets/StreamingAssets/Cubiquity/VoxelDatabases/14937443.vdb'
[10:54:24, Info   ]: Creating empty voxel database as 'C:/Users/Logan/AppData/Local/Temp/DefaultCompany/ElementZeta/7C37A818.vdb'
[10:54:24, Info   ]: Creating empty voxel database as 'C:/Users/Logan/AppData/Local/Temp/DefaultCompany/ElementZeta/2EC60E0E.vdb'
[10:54:29, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[10:54:29, Info   ]: Creating voxel database from 'C:/Users/Logan/Documents/Classes/Capstone/workspace/ElementZeta/Assets/StreamingAssets/Cubiquity/VoxelDatabases/14937443.vdb'
[10:55:29, Info   ]: Creating voxel database from 'C:/Users/Logan/Documents/Classes/Capstone/workspace/ElementZeta/Assets/StreamingAssets/Cubiquity/VoxelDatabases/14937443.vdb'
